noise,delta,num_samples,num_trials,eps_mean,eps_lower,eps_upper
2,0.1,50,200,4.164486801967089,3.7807968581592974,4.548176745774882
2,0.1,100,200,3.025236812833673,2.7470707460765103,3.3034028795908355
2,0.1,150,200,2.4131831951349927,2.183623088087405,2.6427433021825806
2,0.1,200,200,2.01414146445269,1.8416358217807334,2.1866471071246467
2,0.1,250,200,1.7790456422532595,1.6205809251946237,1.9375103593118952
2,0.1,300,200,1.6360684486177903,1.4769273609278335,1.7952095363077472
2,0.1,350,200,1.5331322719011107,1.3989118849931914,1.66735265880903
2,0.1,400,200,1.422038284307268,1.289474907903777,1.5546016607107591
2,0.1,450,200,1.5389598530659034,1.4128500825499715,1.6650696235818354
2,0.1,500,200,1.2837232260279603,1.166931524005518,1.4005149280504026
5,0.1,50,200,4.8605382593347475,4.480036015593015,5.24104050307648
5,0.1,100,200,3.589211903872558,3.3157577346720277,3.862666073073088
5,0.1,150,200,2.745496861676716,2.5326693186015334,2.9583244047518984
5,0.1,200,200,2.718278673888685,2.5097822445467415,2.9267751032306286
5,0.1,250,200,2.268276589362962,2.0953302175033284,2.441222961222596
5,0.1,300,200,2.1026375376749207,1.9386167296942978,2.2666583456555434
5,0.1,350,200,1.941921909053645,1.7917461525196459,2.092097665587644
5,0.1,400,200,1.828960796637457,1.6989275914775217,1.9589940017973924
5,0.1,450,200,1.8176295929804502,1.672261257192333,1.9629979287685675
5,0.1,500,200,1.5391894168114504,1.427812304987219,1.6505665286356819
10,0.1,50,200,7.224260683209152,6.782144395288212,7.6663769711300915
10,0.1,100,200,4.719181198974244,4.468860606826497,4.969501791121991
10,0.1,150,200,4.026008390736805,3.7975121623281827,4.254504619145427
10,0.1,200,200,3.480850951939109,3.2936974302492796,3.6680044736289386
10,0.1,250,200,3.089605783828606,2.923340651926519,3.2558709157306933
10,0.1,300,200,2.8251155719542056,2.6478535214479573,3.002377622460454
10,0.1,350,200,2.5344804741355826,2.403027161822288,2.6659337864488775
10,0.1,400,200,2.3834411594029152,2.256962181062723,2.5099201377431073
10,0.1,450,200,2.35105968673721,2.2033001458631536,2.4988192276112664
10,0.1,500,200,2.288852112381942,2.150728846779999,2.4269753779838847
