algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,0,0.1,50,100,14.34,12.747069335101708,15.932930664898292,2.0064910295613707,1.6457150114608092,2.367267047661932
RC,0,0.1,100,100,14.9,13.276828160198747,16.523171839801254,1.7183240492042446,1.3798384686671938,2.0568096297412954
RC,0,0.1,150,100,12.62,11.247094733341624,13.992905266658374,1.303039742134936,1.0319594526553453,1.5741200316145267
RC,0,0.1,200,100,11.22,10.109103387309373,12.330896612690628,0.9308455147806854,0.7293157606761096,1.1323752688852613
RC,0,0.1,250,100,11.98,11.03828368454388,12.921716315456122,0.9975473072245942,0.8052512870579931,1.1898433273911952
RC,0,0.1,300,100,10.71,9.728452054481421,11.69154794551858,0.9090288541471534,0.7323629230721539,1.0856947852221528
RC,0,0.1,350,100,10.85,10.18656814034086,11.51343185965914,0.7863412861415447,0.6357055186594427,0.9369770536236468
RC,0,0.1,400,100,10.67,9.967733967062811,11.372266032937189,0.7881620246021224,0.6351546703748698,0.9411693788293749
RC,0,0.1,450,100,10.1,9.369725817562953,10.830274182437046,0.6924747876315682,0.5513379707227681,0.8336116045403683
RC,0,0.1,500,100,9.69,9.257026076727852,10.122973923272147,0.5418396983067184,0.4438800860823903,0.6397993105310464
HF,0,0.1,50,100,10.0,10.0,10.0,0.5681868033943703,0.5681868033943703,0.5681868033943703
HF,0,0.1,100,100,10.0,10.0,10.0,0.4017687416608667,0.4017687416608666,0.40176874166086674
HF,0,0.1,150,100,10.0,10.0,10.0,0.32804280388973245,0.3280428038897324,0.3280428038897325
HF,0,0.1,200,100,10.0,10.0,10.0,0.28409340169718517,0.28409340169718517,0.28409340169718517
HF,0,0.1,250,100,10.0,10.0,10.0,0.254100863261624,0.254100863261624,0.254100863261624
HF,0,0.1,300,100,10.0,10.0,10.0,0.23196129114987868,0.23196129114987868,0.23196129114987868
HF,0,0.1,350,100,10.0,10.0,10.0,0.2147544257157506,0.2147544257157506,0.2147544257157506
HF,0,0.1,400,100,10.0,10.0,10.0,0.20088437083043334,0.2008843708304333,0.20088437083043337
HF,0,0.1,450,100,10.0,10.0,10.0,0.1893956011314567,0.1893956011314567,0.1893956011314567
HF,0,0.1,500,100,10.0,10.0,10.0,0.17967644351764997,0.17967644351764997,0.17967644351764997
