noise,delta,mean,lower,upper
1,0.02,1.0,1.0,1.0
1,0.04,1.0,1.0,1.0
1,0.06,1.0,1.0,1.0
1,0.08,0.99,0.9701578304849132,1.0098421695150868
1,0.1,1.0,1.0,1.0
1,0.12,0.99,0.9701578304849132,1.0098421695150868
1,0.14,0.98,0.9520810170207759,1.007918982979224
1,0.16,1.0,1.0,1.0
1,0.18,1.0,1.0,1.0
1,0.2,1.0,1.0,1.0
1,0.22,1.0,1.0,1.0
1,0.24,1.0,1.0,1.0
1,0.26,1.0,1.0,1.0
1,0.28,1.0,1.0,1.0
1,0.3,0.98,0.9520810170207759,1.007918982979224
1,0.32,1.0,1.0,1.0
1,0.34,1.0,1.0,1.0
1,0.36,1.0,1.0,1.0
1,0.38,1.0,1.0,1.0
1,0.4,0.99,0.9701578304849132,1.0098421695150868
1,0.42,1.0,1.0,1.0
1,0.44,1.0,1.0,1.0
1,0.46,0.98,0.9520810170207759,1.007918982979224
1,0.48,0.97,0.935981273413217,1.004018726586783
1,0.5,0.99,0.9701578304849132,1.0098421695150868
2,0.02,0.96,0.9209215643219727,0.9990784356780272
2,0.04,0.94,0.8926400636260718,0.987359936373928
2,0.06,0.96,0.9209215643219727,0.9990784356780272
2,0.08,0.95,0.9065371337811178,0.9934628662188821
2,0.1,0.95,0.9065371337811178,0.9934628662188821
2,0.12,0.95,0.9065371337811178,0.9934628662188821
2,0.14,0.96,0.9209215643219727,0.9990784356780272
2,0.16,0.95,0.9065371337811178,0.9934628662188821
2,0.18,0.96,0.9209215643219727,0.9990784356780272
2,0.2,0.99,0.9701578304849132,1.0098421695150868
2,0.22,0.96,0.9209215643219727,0.9990784356780272
2,0.24,0.95,0.9065371337811178,0.9934628662188821
2,0.26,0.96,0.9209215643219727,0.9990784356780272
2,0.28,0.95,0.9065371337811178,0.9934628662188821
2,0.3,0.95,0.9065371337811178,0.9934628662188821
2,0.32,0.96,0.9209215643219727,0.9990784356780272
2,0.34,0.94,0.8926400636260718,0.987359936373928
2,0.36,0.96,0.9209215643219727,0.9990784356780272
2,0.38,0.89,0.8276031157252007,0.9523968842747993
2,0.4,0.99,0.9701578304849132,1.0098421695150868
2,0.42,0.94,0.8926400636260718,0.987359936373928
2,0.44,0.91,0.852929259298055,0.9670707407019451
2,0.46,0.91,0.852929259298055,0.9670707407019451
2,0.48,0.89,0.8276031157252007,0.9523968842747993
2,0.5,0.92,0.8658983556118984,0.9741016443881017
